# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

CMP-legionaminate biosynthesis I|PWY-6749|CMP-legionaminate biosynthesis|CMP-Legionaminate-Biosynthesis|0.1302624|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6749
D-galacturonate degradation II|PWY-6486|D-Galacturonate Degradation|D-Galacturonate-Degradation|0.13962778|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6486
folate transformations III (E. coli)|1CMET2-PWY|Folate Transformations|Folate-Transformations|0.15793222|0.5555556|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=1CMET2-PWY
tRNA-uridine 2-thiolation and selenation (bacteria)|PWY-7892|||0.16000001|0.36363637|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7892
pyridoxal 5'-phosphate biosynthesis I|PYRIDOXSYN-PWY|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|0.16325505|0.2857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDOXSYN-PWY
D-glucarate degradation I|GLUCARDEG-PWY|D-Glucarate Degradation|D-Glucarate-Degradation|0.16559567|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCARDEG-PWY
D-galactarate degradation I|GALACTARDEG-PWY|D-Galactarate Degradation|D-Galactarate-Degradation|0.16559567|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GALACTARDEG-PWY
catechol degradation to 2-hydroxypentadienoate II|PWY-5419|Catechol Degradation|Catechol-Degradation|0.17453472|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5419
virginiae butanolide type gamma-butyrolactones biosynthesis|PWY-7881|||0.17600001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7881
[2Fe-2S] iron-sulfur cluster biosynthesis|PWY-7250|||0.17600001|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7250
L-threonine degradation I|PWY-5437|L-threonine Degradation|THREONINE-DEG|0.17641555|0.16666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5437
ubiquinol-8 biosynthesis (early decarboxylation)|PWY-6708|||0.17875|0.125|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6708
L-isoleucine degradation I|ILEUDEG-PWY|L-isoleucine Degradation|ISOLEUCINE-DEG|0.18033826|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUDEG-PWY
L-arginine degradation I (arginase pathway)|ARGASEDEG-PWY|L-arginine Degradation|ARGININE-DEG|0.1887032|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGASEDEG-PWY
thiazole component of thiamine diphosphate biosynthesis I|PWY-6892|Thiazole Biosynthesis|Thiazole-Biosynthesis|0.19046421|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6892
flavin biosynthesis I (bacteria and plants)|RIBOSYN2-PWY|Flavin Biosynthesis|Flavin-Biosynthesis|0.19408399|0.5555556|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=RIBOSYN2-PWY
L-valine degradation I|VALDEG-PWY|L-valine Degradation|VALINE-DEG|0.19431515|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=VALDEG-PWY
(aminomethyl)phosphonate degradation|PWY-7805|||0.19574054|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7805
oleate beta-oxidation|PWY0-1337|||0.19760339|0.42857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1337
glycerol degradation II|PWY-6131|Glycerol Degradation|GLYCEROL-DEG|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6131
guanine and guanosine salvage II|PWY-6599|Guanine and Guanosine Salvage|Guanine-Guanosine-Salvage|0.21156943|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6599
catechol degradation to 2-hydroxypentadienoate I|P183-PWY|Catechol Degradation|Catechol-Degradation|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P183-PWY
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate|PWY-6613|Folate Biosynthesis|Folate-Biosynthesis|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6613
L-cysteine biosynthesis III (from L-homocysteine)|HOMOCYSDEGR-PWY|L-cysteine Biosynthesis|CYSTEINE-SYN|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=HOMOCYSDEGR-PWY
atrazine degradation III|PWY-5731|Atrazine Degradation|Atrazine-Degradation|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5731
